Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.005454545454545455,0.6333333333333333,3.0,95.51171176453343,0.98
0.005454545454545455,0.6333333333333333,3.5,111.43033039195568,0.98
0.005454545454545455,0.7222222222222222,2.0,69.6652518362503,0.98
0.005454545454545455,0.7222222222222222,2.5,87.08156479531289,0.98
0.005454545454545455,0.7222222222222222,3.0,104.49787775437547,0.98
0.005454545454545455,0.7222222222222222,3.5,121.91419071343805,0.98
0.005454545454545455,0.8111111111111111,2.0,76.90038119740832,0.98
0.005454545454545455,0.8111111111111111,2.5,96.1254764967604,0.98
0.005454545454545455,0.8111111111111111,3.0,115.35057179611248,0.98
0.005454545454545455,0.8111111111111111,3.5,134.57566709546455,0.98
0.005454545454545455,0.9,2.0,85.81249259215362,0.98
0.005454545454545455,0.9,2.5,107.26561574019203,0.98
0.005454545454545455,0.9,3.0,128.71873888823043,0.98
0.005454545454545455,0.9,3.5,150.17186203626883,0.98
0.00594949494949495,0.1,2.0,45.81402194675967,0.98
0.00594949494949495,0.1,2.5,57.26752743344959,0.98
0.00594949494949495,0.1,3.0,68.7210329201395,0.98
0.00594949494949495,0.1,3.5,80.17453840682941,0.98
0.00594949494949495,0.18888888888888888,2.0,48.56913113697298,0.98
0.00594949494949495,0.18888888888888888,2.5,60.71141392121623,0.98
0.00594949494949495,0.18888888888888888,3.0,72.85369670545947,0.98
0.00594949494949495,0.18888888888888888,3.5,84.99597948970272,0.98
0.00594949494949495,0.2777777777777778,2.0,51.67680968688727,0.98
0.00594949494949495,0.2777777777777778,2.5,64.59601210860909,0.98
0.00594949494949495,0.2777777777777778,3.0,77.51521453033091,0.98
0.00594949494949495,0.2777777777777778,3.5,90.43441695205273,0.98
0.00594949494949495,0.3666666666666667,2.0,55.20936097711284,0.98
0.00594949494949495,0.3666666666666667,2.5,69.01170122139105,0.98
0.00594949494949495,0.3666666666666667,3.0,82.81404146566926,0.98
0.00594949494949495,0.3666666666666667,3.5,96.61638170994746,0.98
0.00594949494949495,0.4555555555555556,2.0,59.26030922820799,0.98
0.00594949494949495,0.4555555555555556,2.5,74.07538653526,0.98
